type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
Tv Show,Code Geass: Lelouch Of The Rebellion,,"Jun Fukuyama, Takahiro Sakurai, Yukana, Ami Koshimizu, Kaori Nazuka, Fumiko Orikasa, Sayaka Ohara, Noriaki Sugiyama, Takahiro Mizushima, Soichiro Hoshi, Yuko Goto",Japan,01-May-19,2008,TV-MA,2 Seasons,"Anime Series, International Tv Shows",A High-Schooler Who'S Granted Powers To Make Anyone Instantly Obedient Dons A Mask To Lead Japan'S Rebellion Against A Long-Invading Britannia.
Tv Show,Samantha!,,"Emmanuelle Araújo, Douglas Silva, Sabrina Nonata, Cauã Gonçalves, Daniel Furlan, Alice Braga, Alessandra Negrini, Lorena Comparato, Rodrigo Pandolfo, Luciana Vendramini, Maria Eduarda, Sidney Alexandre, Enzo Ovideo, Mauricio Xavier, Paulo Tiefenthaler, Ary França",Brazil,19-Apr-19,2019,TV-MA,2 Seasons,"International Tv Shows, Tv Comedies","A Child Star In The '80S, Samantha Clings To The Fringes Of Celebrity With Hilarious Harebrained Schemes To Launch Herself Back Into The Spotlight."
Tv Show,Ainori Love Wagon: Asian Journey,,"Becky, Audrey, Mayuko Kawakita, Shimon Okura",Japan,28-Mar-19,2018,TV-MA,2 Seasons,"International Tv Shows, Reality Tv, Romantic Tv Shows","Seven Men And Women Board A Pink Bus In Search Of True Love. On A Journey Through Asia With Strangers, Their Goal Is To Return To Japan As A Couple."
Tv Show,Secret City,,"Anna Torv, Jacki Weaver, Dan Wyllie, Alex Dimitriades, Damon Herriman, Mekhi Phifer, Eugenia Yuan, Matt Zeremes, Alan Dale",Australia,06-Mar-19,2016,TV-MA,2 Seasons,"International Tv Shows, Tv Dramas, Tv Mysteries",A Student'S Protest Leads To A Government Scandal That Has Personal And Professional Repercussions For One Of Australia'S Toughest Journalists.
Tv Show,The Break,,"Yoann Blanc, Guillaume Kerbush, Anne Coesens, Jasmina Douieb, Tom Audenaert, Sam Louwyck, Catherine Salée, Jean-Henri Compère",Belgium,09-Feb-19,2018,TV-MA,2 Seasons,"Crime Tv Shows, International Tv Shows, Tv Dramas","A Police Detective Mourning A Painful Loss Moves Back To His Peaceful Hometown, Only To Be Drawn Into A Murder Case That Dredges Up Dark Secrets."
Tv Show,The Paper,,"Branka Kati?, Trpimir Jurkic, Aleksandar Cvetkovi?, Zijad Gra?i?, Olga Pakalovi?, Goran Markovic, Edita Kara?ole, Zdenko Jelcic, Tihana Lazovic, Mijo Juriši?, Dajana ?uljak, Alen Liveri?, Anja Matkovi?, Dragan Despot",Croatia,01-Jan-19,2018,TV-MA,2 Seasons,"International Tv Shows, Tv Dramas",A Construction Magnate Takes Over A Struggling Newspaper And Attempts To Wield Editorial Influence For Power And Personal Gain.
Tv Show,Flowers,,"Olivia Colman, Julian Barratt, Daniel Rigby, Sophia Di Martino, Leila Hoffman, Will Sharpe, Harriet Walter",United Kingdom,15-Dec-18,2018,TV-MA,2 Seasons,"British Tv Shows, International Tv Shows, Tv Comedies","Between A Troubled Marriage, A Senile Granny And Twin Siblings Constantly In Rivalry, A Crumbling Household Struggles To Barely Keep It Together."
Tv Show,Sick Note,,"Rupert Grint, Nick Frost, Don Johnson, Lindsay Lohan, Pippa Bennett-Warner, Marama Corlett, Karl Theobald, Belinda Stewart-Wilson, Camilla Beeput, Dustin Demri-Burns, Tolu Ogunmefun",United Kingdom,23-Nov-18,2018,TV-MA,2 Seasons,"British Tv Shows, International Tv Shows, Tv Comedies","After Slacker Daniel Glass Is Misdiagnosed With Cancer, His Lies Lead Him Into An Absurd Web Of Fraud, Blackmail, Suspicion And Misadventure."
Tv Show,Fate/Extra Last Encore,,"Atsushi Abe, Sakura Tange, Kana Ueda, Hiroshi Kamiya, Noriko Shitaya, Kohsuke Toriumi, Urara Takano, Ai Nonaka, Kunihiko Yasui, Takahiro Mizushima",Japan,30-Oct-18,2018,TV-MA,2 Seasons,"Anime Series, International Tv Shows","Hakuno Kishinami Finds Himself In The Midst Of A Holy Grail War With No Memories Of How He Got There. Through His Confusion, He Must Fight To Survive."
Tv Show,Ingobernable,,"Kate Del Castillo, Eréndira Ibarra, Alberto Guerra, Erik Hayser, Luis Roberto Guzmán, Álvaro Guerrero, Aida López, Fernando Luján, Maxi Iglesias, Marianna Burelli, Maria Del Carmen Farías, Tamara Mazarraza, Marina De Tavira, Marco Antonio Treviño, Alicia Jaziz, Harold Torres, Alessio Valentini, Diego Cadavid, Hernán Del Riego",Mexico,14-Sep-18,2018,TV-MA,2 Seasons,"Crime Tv Shows, International Tv Shows, Spanish-Language Tv Shows","The First Lady Of Mexico Is A Woman Of Conviction And Ideals. But When She Loses Faith In Her Husband, She'Ll Need All Her Strength To Uncover The Truth."
Tv Show,A Very Secret Service,,"Hugo Becker, Wilfred Benaïche, Christophe Kourotchkine, Karim Barras, Bruno Paviot, Jean-Édouard Bodziak, Mathilde Warnier, Joséphine De La Baume, Marie-Julie Baup, Antoine Gouy, Julie Farenc",France,30-Jul-18,2018,TV-MA,2 Seasons,"International Tv Shows, Tv Comedies","At The Height Of The Cold War In 1960, André Merlaux Joins The French Secret Service And Contends With Enemies Both Foreign And Bureaucratic."
Tv Show,Swordgai The Animation,,"Yuto Uemura, Yuuka Aisaka, Nobunaga Shimazaki, Yuuichirou Umehara, Toshihiko Seki, Jouji Nakata, Rina Satou, Tomokazu Sugita, Hiro Shimono, Ayane Sakura, Urara Takano, Kohei Murakami, Maaya Uchida, Takaya Kuroda, Michiko Neya, Takaya Hashi",Japan,30-Jul-18,2018,TV-MA,2 Seasons,"Anime Series, International Tv Shows","A Young Man Becomes Host To A Legendary Infernal Sword And, With The Fate Of Humanity Now In His Arm, Wields Its Demonic Power Against His Enemies."
Tv Show,Mossad 101,,"Yehuda Levi, Yehoram Gaon, Shai Avivi, Liron Vaisman, Aki Avni, Itay Tiran, Hana Laszlo",Israel,11-Jul-18,2017,TV-MA,2 Seasons,"International Tv Shows, Tv Action & Adventure, Tv Dramas","Cadets From Every Level Of Israeli Society Undergo Intense Training To Join Their Country'S Elite, Highly Classified Intelligence Service, The Mossad."
Tv Show,Baby Ballroom,,"Warren Bullock, Jane Bullock",United Kingdom,10-Jul-18,2018,TV-MA,2 Seasons,"British Tv Shows, International Tv Shows, Reality Tv","Step Into The Cutthroat World Of Kids' Ballroom Dancing, Where Ambitious Instructors, Proud Parents And Pint-Sized Performers Waltz To Win."
Tv Show,Doctor Foster,,"Suranne Jones, Bertie Carvel, Clare-Hope Ashitey, Cheryl Campbell, Jodie Comer, Victoria Hamilton, Martha Howe-Douglas, Adam James, Thusitha Jayasundera, Sara Stewart, Neil Stuke, Tom Taylor, Robert Pugh, Shazia Nicholls, Cian Barry, Megan Roberts, Charlie Cunniffe, Navin Chowdhry",United Kingdom,31-Mar-18,2017,TV-MA,2 Seasons,"British Tv Shows, International Tv Shows, Romantic Tv Shows","When She Suspects Her Husband Is Cheating On Her, Dr. Gemma Foster Starts An Investigation That Leads Her Down A Dark Path Of Obsession."
Tv Show,Marseille,,"Gérard Depardieu, Benoît Magimel, Géraldine Pailhas, Nadia Farès, Stéphane Caillard, Jean-René Privat, Pascal Elso, Gérard Meylan",France,23-Feb-18,2018,TV-MA,2 Seasons,"International Tv Shows, Tv Dramas, Tv Thrillers",The Longtime Mayor Of Marseille Is Preparing To Hand Over The Reins To His Protégé When A Sudden And Ruthless Battle Erupts For Control Of The City.
Tv Show,The Frankenstein Chronicles,,"Sean Bean, Tom Ward, Richie Campbell, Vanessa Kirby, Ed Stoppard, Ryan Sampson, Robbie Gee, Anna Maxwell Martin, Elliot Cowan, Charlie Creed-Miles, Eloise Smyth, Samuel West",United Kingdom,20-Feb-18,2017,TV-MA,2 Seasons,"British Tv Shows, Crime Tv Shows, International Tv Shows","A Detective Tracks What Seems To Be A Killer With A Taste For Dismemberment In 1827 London, But The Case Leads In A Far More Terrifying Direction."
Tv Show,The Shannara Chronicles,,"Austin Butler, Poppy Drayton, Ivana Baquero, Manu Bennett, Aaron Jakubenko, Emilia Burns, John Rhys-Davies, Marcus Vanco, Brooke Williams, Daniel Macpherson, Jed Brophy","United States, New Zealand",22-Jan-18,2018,TV-MA,2 Seasons,"Tv Action & Adventure, Tv Dramas, Tv Sci-Fi & Fantasy","After The Destruction Of Civilization, Three Young Heroes Become Earth'S Last Hope For Salvation When A Massive Force Of Demons Threatens The Planet."
Tv Show,"Hello, My Twenties!",,"Ye-Ri Han, Seung-Yeon Han, Eun-Bin Park, Hwa-Young Ryu, Hye-Soo Park",South Korea,18-Dec-17,2017,TV-MA,2 Seasons,"International Tv Shows, Korean Tv Shows, Romantic Tv Shows","With Different Personalities, Life Goals And Taste In Men, Five Female College Students Become Housemates In A Shared Residence Called Belle Epoque."
Tv Show,Fate/Apocrypha,,"Natsuki Hanae, Maaya Sakamoto, Kouki Uchiyama, Miyuki Sawashiro, Saori Hayami, Koji Yusa, Makoto Furukawa, Tetsu Inada, Satoshi Tsuruoka, Kei Shindou, Junichi Suwabe, Shunsuke Takeuchi, Ryotaro Okiayu, Mitsuru Miyamoto, Rumi Okubo, Ai Nonaka, Sakura Tange",Japan,07-Nov-17,2017,TV-MA,2 Seasons,"Anime Series, International Tv Shows",The Theft Of The Greater Grail From Fuyuki City Leads To A Splintered Timeline In Which The Great Holy Grail War Is Waged On An Unprecedented Scale.
Tv Show,Vexed,,"Toby Stephens, Miranda Raison, Lucy Punch, Nick Dunning, Rory Kinnear, Ronny Jhutti, Roger Griffiths, Patrick Baladi",United Kingdom,01-Aug-17,2012,TV-MA,2 Seasons,"British Tv Shows, Crime Tv Shows, International Tv Shows",Charming Slacker Di Jack Armstrong And Driven Professional Di Kate Bishop Try To Solve Crimes Together Without Driving Each Other Crazy.
Tv Show,Mar De Plástico,,"Rodolfo Sancho, Belén López, Pedro Casablanc, Luis Fernández, Patrick Criado, Nya De La Rubia, Jesús Castro, Fernando Cayo",Spain,27-Apr-17,2017,TV-MA,2 Seasons,"Crime Tv Shows, International Tv Shows, Spanish-Language Tv Shows","In A Town In Southern Spain Where Racial Tensions Run High Among The Workers In Its Many Greenhouses, A Cop Investigates The Murder Of A Young Woman."
Tv Show,Ajin: Demi-Human,,"Mamoru Miyano, Yoshimasa Hosoya, Jun Fukuyama, Hochu Otsuka, Daisuke Hirakawa, Takahiro Sakurai, Mikako Komatsu, Hiroyuki Kinoshita, Aya Suzaki",Japan,27-Dec-16,2016,TV-MA,2 Seasons,"Anime Series, International Tv Shows",A Teenager Discovers That He Is An Ajin And Flees Before The Authorities Experiment On Him. Other Ajin Plan To Fight Back And He Must Choose A Side.
Tv Show,Burnistoun,,"Iain Connell, Robert Florence, Kirsty Strain, Richard Rankin, Allan Miller, Louise Stewart",United Kingdom,01-Oct-19,2012,TV-MA,2 Seasons,"British Tv Shows, Tv Comedies","This Sketch Series Focuses On The Eccentric Characters In A Small Scottish Town, Including Bumbling Cops, ""Dj Jesus"" And A Disgruntled Serial Killer."
Tv Show,Chewing Gum,,"Michaela Coel, John Macmillan, Robert Lonsdale, Danielle Walters, Kadiff Kirwan, Susan Wokoma, Shola Adewusi, Sarah Hoare, Abby Rakic-Platt, Maggie Steed, Olisa Odele",United Kingdom,04-Apr-17,2017,TV-MA,2 Seasons,"British Tv Shows, International Tv Shows, Romantic Tv Shows","The Virginal Tracey, Who Was Raised In A Strictly Religious Tower Hamlets Flat, Is Ready To Realize Her Potential. And The First Step Is Having Sex."
Tv Show,Dangerous Roads,,"Adrian Dunbar, Sue Perkins, Charley Boorman, Rhod Gilbert, Greg Davies, Ben Fogle, Hugh Dennis, Ed Byrne, Andy Parsons, Liza Tarbuck, David Baddiel",United Kingdom,01-Feb-19,2012,TV-MA,2 Seasons,"British Tv Shows, Docuseries","Using Various 4X4 Vehicles, Celebrities Steer Their Way Across Some Of The Most Infamous Roads And Trickiest Terrains On Earth."
Tv Show,Days We Stared At The Sun,,"Sean Huang, Chang Chia-Yu, Wu Chien-Ho, Teresa Daley, Yong Lea, Edison Song, Shan Cheng-Ju, Iris Hu, Hsia Teng-Hung",Taiwan,31-Mar-18,2017,TV-MA,2 Seasons,"International Tv Shows, Tv Dramas",A Model Student Resorts To Violence After Witnessing Greed And Corruption Wreak Havoc On His Life.
Tv Show,Extras,,"Ricky Gervais, Stephen Merchant, Ashley Jensen, Shaun Williamson, Shaun Pye","United Kingdom, United States",31-Mar-17,2006,TV-MA,2 Seasons,"British Tv Shows, Tv Comedies","Grasping Hungrily For Stardom, Bit Actor Andy Millman And His Pal Maggie Spend Their Days Chasing After Work As Film And Tv Extras."
Tv Show,Gomorrah,,"Marco D'Amore, Fortunato Cerlino, Salvatore Esposito, Fabio De Caro, Christian Giroso, Giovanni Buselli, Carmine Monaco, Lino Musella, Marco Palvetti, Vincenzo Fabricino, Maria Pia Calzone, Domenico Balsamo, Emanuele Vicorito, Carmine Battaglia, Alessio Gallo","Italy, Germany",21-Aug-17,2016,TV-MA,2 Seasons,"Crime Tv Shows, International Tv Shows, Tv Dramas","Mafia Activity In Naples Is At The Center Of This Series, Which Focuses On Internal Struggles That Follow After The Head Of A Family Is Imprisoned."
Tv Show,Happy Valley,,"Sarah Lancashire, Siobhan Finneran, Charlie Murphy, James Norton, George Costigan, Karl Davies, Shane Zaza, Steve Pemberton, Joe Armstrong, Adam Long, Rick Warden, Rhys Connah, Katherine Kelly",United Kingdom,16-Mar-16,2016,TV-MA,2 Seasons,"British Tv Shows, Crime Tv Shows, International Tv Shows","Yorkshire Police Sergeant Catherine Cawood Pursues The Man Who Assaulted Her Late Daughter, Unaware He Is Now Part Of A Secret Kidnapping Plot."
Tv Show,Heavy Rescue: 401,,Dave Pettitt,Canada,22-Jun-18,2018,TV-MA,2 Seasons,"International Tv Shows, Reality Tv","In The Harshest Weather, Rookie And Veteran Heavy Recovery Operators Fight To Keep Southern Ontario'S Busy, Treacherous Highways Clear And Safe."
Tv Show,Herrens Veje,,"Lars Mikkelsen, Ann Eleonora Jorgensen, Simon Sears, Morten Hee Andersen, Fanny Bernth, Joen Højerslev, Camilla Lau, Maj-Britt Mathiesen, Solbjørg Højfeldt, Johanne Dal-Lewkovitch",Denmark,01-Jun-19,2018,TV-MA,2 Seasons,"International Tv Shows, Tv Dramas",A Family With A Storied History Of Service To The Church Of Denmark Fractures Under The Tyrannical Rule And Ambition Of Its Hard-Driving Patriarch.
Tv Show,Intelligence,,"Ian Tracey, Klea Scott, John Cassini, Matt Frewer, Alana Husband, Kyla Wise, Camille Sullivan, Darcy Laurie, Eugene Lipinski, Michael Eklund",Canada,19-Jul-17,2007,TV-MA,2 Seasons,"Crime Tv Shows, Tv Dramas",Clashes Both On The Street And In The Bedroom Pits The Female Head Of The Organized Crime Unit Against The Cocky Leader Of A Pot-Smuggling Ring.
Tv Show,Knights Of Sidonia,,"Ryota Osaka, Aya Suzaki, Aki Toyosaki, Takahiro Sakurai, Hisako Kanemoto, Eri Kitamura, Sayaka Ohara, Tomohiro Tsuboi, Takehito Koyasu, Satomi Arai, Atsuko Tanaka, Nanako Mori, Takako Honda, Kohsuke Toriumi, Ayane Sakura, Osamu Saka",Japan,01-Dec-19,2015,TV-MA,2 Seasons,"Anime Series, International Tv Shows",A Hero Rises To Save A World That'S Also A Spaceship Under Siege By An Alien Threat In This Original Anime Series Based On The Popular Manga Comic.
Tv Show,Limmy'S Show!,,"Brian Limond, Debbie Welsh, Tom Brogan, Raymond Mearns, Kirstin Mclean",United Kingdom,01-Oct-19,2012,TV-MA,2 Seasons,"British Tv Shows, Tv Comedies","Scottish Comic Brian ""Limmy"" Limond Headlines This Sketch Series Featuring Him In Various Roles From A Tv Psychic To Costumed Adventurer ""Falconhoof."""
Tv Show,Psiconautas,,"Guillermo Toledo, Gabriel Goity, Florencia Peña, Julieta Zylberberg, Martín Piroyansky, Luis Ziembrowski, Verónica Llinás, Emilio Disi",Argentina,15-Apr-18,2016,TV-MA,2 Seasons,"International Tv Shows, Spanish-Language Tv Shows, Tv Comedies",A Spanish Con Man Masquerades As A Therapist And Starts Leading Group Sessions In Argentina For A Crew Of Gullible Misfits.
Tv Show,Reggie Yates Outside Man,,Reggie Yates,United Kingdom,15-Dec-17,2017,TV-MA,2 Seasons,"British Tv Shows, Docuseries, International Tv Shows","Award-Winning Filmmaker Reggie Yates Travels Around The World Tackling Big Issues Such As Gun Violence, Racism, Gay Rights And Addiction."
Tv Show,Silver Spoon,,"Pavel Priluchnyy, Karina Razumovskaya, Dmitry Shevchenko, Denis Shvedov, Alexander Oblasov, Igor Zhizhikin, Bogdan Stypka, Alexander Dyachenko",Russia,15-Sep-17,2015,TV-MA,2 Seasons,"Crime Tv Shows, International Tv Shows, Tv Action & Adventure","Forced To Become An Apprentice Cop, Cocky Playboy Igor Finds He'S Got A Knack For Police Work. But His Job Soon Takes Him Down A Dark Personal Path."
Tv Show,The Investigator: A British Crime Story,,"Mark Williams-Thomas, Rick Warden, Frances Millar, Tanya Winsor, Alice Harding, David Bannerman, Danielle Bird, Eve Perry, Polly Lewis, Billy James Machin",United Kingdom,05-Mar-20,2018,TV-MA,2 Seasons,"British Tv Shows, Crime Tv Shows, Docuseries","After 40 Years Of Inconclusive Evidence, Renowned Criminologist Mark Williams-Thomas Re-Examines A String Of Mysterious Murders."
Tv Show,Love On The Spectrum,,Brooke Satchwell,Australia,21-Sep-21,2021,TV-14,2 Seasons,"Docuseries, International Tv Shows, Reality Tv","Finding Love Can Be Hard For Anyone. For Young Adults On The Autism Spectrum, Exploring The Unpredictable World Of Dating Is Even More Complicated."
Tv Show,Tayo The Little Bus,,"Robyn Slade, Kami Desilets",South Korea,06-Sep-21,2016,TV-Y,2 Seasons,"Kids' Tv, Korean Tv Shows","As They Learn Their Routes Around The Busy City, Tayo And His Little Bus Friends Discover New Sights And Go On Exciting Adventures Every Day."
Tv Show,Kid-E-Cats,,"Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder",Russia,01-Sep-21,2016,TV-Y,2 Seasons,Kids' Tv,"Cookie, Pudding And Candy Are Kitten Siblings Whose Favorite Things Are Sweet Treats And Letting Their Curiosity Lead Them On Adventures In Learning."
Tv Show,Winx Club,,"Liza Jacqueline, Helena Evangeliou, Lisa Ortiz, Kerry Williams, Gregory Abbey, Dan Green, Michael Sinterniklaas, Suzy Myers, Christina Rodriguez, Dani Schaffel, Sebastian Arcelus, Rachael Lillis",Italy,15-Aug-21,2015,TV-Y7,2 Seasons,Kids' Tv,"In This Animated Fantasy, A Girl Named Bloom Befriends A Band Of Fairies, Then Follows Them Into The Secretive And Dangerous ""Magical Dimension."""
Tv Show,Between,,"Jennette Mccurdy, Jesse Carere, Ryan Allen, Justin Kelly, Kyle Mac, Jack Murray, Brooke Palsson, Jim Watson, Wesley Morgan, Krystal Hope Nausbaum, Shailene Garnett, Canute Gomes, Sarah Podemski, Shailyn Pierre-Dixon, Jesse Bostick, Steven Grayhm, Percy Hynes White, Mercedes Morris, Samantha Munro",Canada,06-Jul-21,2016,TV-14,2 Seasons,"International Tv Shows, Tv Dramas, Tv Mysteries","After A Mysterious Disease Kills Every Resident Over 22 Years Old, Survivors Of A Town Must Fend For Themselves When The Government Quarantines Them."
Tv Show,Good Morning Call,,"Haruka Fukuhara, Shunya Shiraishi, Dori Sakurada, Moe Arai, Kentaro, Shugo Nagashima, Koya Nagasawa, Hinako Tanaka, Tomoharu Hasegawa, Tomoko Fujita, Erika Mori, Kei Tanaka, Yosuke Sugino, Maryjun Takahashi, Itsuki Sagara, Madoka Yoshida",Japan,06-Jul-21,2017,TV-14,2 Seasons,"International Tv Shows, Romantic Tv Shows, Tv Comedies","A High School Girl Finally Gets Her Own Apartment, But She Has To Share It With The Most Popular Boy In School. No One Can Know They'Re Living Together."
Tv Show,Puffin Rock,,"Chris O'Dowd, Kate Mccafferty, Sally Mcdaid, Geraldine Cole, Brian Mcmonagle, Darragh Gargan","Ireland, United States, United Kingdom",06-Jul-21,2016,TV-Y,2 Seasons,Kids' Tv,"Life Is Sweet On Beautiful Puffin Rock, Where Puffling Oona, Her Baby Brother Baba And Their Pals Learn About Nature, Friendship And Family."
Tv Show,Some Assembly Required,,"Kolton Stewart, Harrison Houde, Charlie Storwick, Sydney Scotia, Travis Turner, Ellie Harvie, Dylan Playfair",Canada,06-Jul-21,2015,TV-Y,2 Seasons,"Kids' Tv, Tv Comedies",A 14-Year-Old Takes Ownership Of A Toy Company And Hires A Group Of His Friends To Help Him Create Amazing New Toys.
Tv Show,The A List,,"Lisa Ambalavanar, Ellie Duckles, Savannah Baker, Cian Barry, Eleanor Bennett, Jacob Dudman, Rosie Dwyer, Jack Kane, Max Lohan, Nneka Okoye, Micheal Ward, Georgina Sadler, Indianna Ryan",United Kingdom,06-Jul-21,2021,TV-PG,2 Seasons,"British Tv Shows, International Tv Shows, Tv Dramas","Romance, Rivalry And Radical Mystery Collide As A Group Of Teens Attend A Remote Island Sleepaway Camp In This Suspenseful, Supernatural Drama."
Tv Show,The New Legends Of Monkey,,"Chai Hansen, Luciane Buchanan, Josh Thomson, Emilie Cocquerel, Josh Mckenzie, Jordan Mooney, Jarred Blakiston","Australia, New Zealand",06-Jul-21,2020,TV-PG,2 Seasons,"Kids' Tv, Tv Action & Adventure, Tv Sci-Fi & Fantasy",A Valiant Girl Liberates The Monkey King – A God Long Trapped In Stone – In A Quest To Find Seven Sacred Scrolls And Save The World From Evil.
Tv Show,Hospital Playlist,,"Cho Jung-Seok, Yoo Yeon-Seok, Jung Kyung-Ho, Kim Dae-Myeong, Jeon Mi-Do, Kim Hae-Suk, Kim Kap-Soo, Jung Moon-Sung",South Korea,18-Jun-21,2021,TV-14,2 Seasons,"International Tv Shows, Korean Tv Shows, Tv Comedies","Every Day Is Extraordinary For Five Doctors And Their Patients Inside A Hospital, Where Birth, Death And Everything In Between Coexist."
Tv Show,Love (Ft. Marriage And Divorce),,"Sung Hoon, Lee Tae-Gon, Park Joo-Mi, Lee Ga-Ryoung, Lee Min-Young, Jeon No-Min, Jeon Soo-Kyeong, Lim Hye-Young, Song Ji-In, Moon Sung-Ho, Roh Joo-Hyun, Kim Ameliia, Kim Eung-Soo, Lee Jong-Nam, Lee Hyo-Chun, Jun Hye-Won, Lim Han-Bin, Park Seo-Kyung, Shin Su-Ho, Yun Seo-Hyun",South Korea,12-Jun-21,2021,TV-14,2 Seasons,"International Tv Shows, Tv Dramas","Everything Comes Unraveling For Three Successful Women Who Work On A Radio Show As Twists, Turns And Troubles Plague Their Seemingly Happy Marriages."
Tv Show,Lego Friends: The Power Of Friendship,,"Erica Mendez, Marianne Miller, Rachelle Heger, Millie O'Conner, Alexa Kahn, Doug Stone, Chris Smith, Bryce Papenbrook, Heather Downey, Chris Hackney, Ben Pronsky",Denmark,11-Jun-21,2016,TV-Y7,2 Seasons,Kids' Tv,"Five Best Friends Face Adventures Side By Side In Their Hometown. Zany Antics, Love And Missteps Are Better With Friends!"
Tv Show,Ben & Holly'S Little Kingdom,,"Preston Nyman, Sian Taylor, Ian Puleston-Davies, Sara Crowe, Sarah Ann Kennedy, Judy Flynn, John Sparkes, David Graham",United Kingdom,02-Jun-21,2019,TV-Y,2 Seasons,Kids' Tv,"In The Magical Little Kingdom, Friends Ben Elf And Fairy Princess Holly Have Fun Adventures As They Learn About Teamwork, Sharing And Problem-Solving."
Tv Show,Selena: The Series,,"Christian Serratos, Gabriel Chavarria, Ricardo Chavira, Noemi Gonzalez, Seidy Lopez, Hunter Reese Peña, Julio Macias, Carlos Alfredo Jr., Jesse Posey, Madison Taylor Baez, Juan Martinez, Daniela Estrada, Paul Rodriguez Jr.","Mexico, United States",04-May-21,2020,TV-PG,2 Seasons,Tv Dramas,Iconic Mexican-American Performer Selena Rises To Fame As She And Her Family Make Sacrifices In Order To Achieve Their Lifelong Dreams.
Tv Show,Izzy'S Koala World,,"Izzy Bee, Ali Bee, Tim Bee",Australia,20-Apr-21,2021,TV-Y,2 Seasons,Kids' Tv,Young Koala Caretaker Izzy Bee And Her Family Rescue Cuddly Creatures In Need And Help Them Head Back Into The Wild On Australia’S Magnetic Island.
Tv Show,Sonic X,,"Junichi Kanemaru, Sanae Kobayashi, Ryo Hirohashi, Taeko Kawata, Nobutoshi Canna, Koji Yusa, Rumi Ochiai, Sayaka Aoki, Chikao Otsuka",Japan,15-Apr-21,2003,TV-Y7,2 Seasons,"Anime Series, Kids' Tv","A Mission Gone Awry Transports Sonic The Hedgehog, His Friends, Dr. Eggman And The Chaos Emeralds To Another Dimension: Earth."
Tv Show,The Big Day,,,India,07-Apr-21,2021,TV-14,2 Seasons,"International Tv Shows, Reality Tv, Romantic Tv Shows","For Six Engaged Couples, Happily Ever After Begins On A Spectacular Note In This Eye-Popping Look At India’S Multibillion-Dollar Wedding Industry."
Tv Show,Magical Andes,,,"Uruguay, Germany",01-Apr-21,2021,TV-G,2 Seasons,"Docuseries, International Tv Shows, Science & Nature Tv","From Argentina To Colombia, This Stunning Documentary Follows Five Characters Who Share Their Deep Connection To South America'S Majestic Mountains."
Tv Show,Secrets Of Great British Castles,,Dan Jones,United Kingdom,01-Apr-21,2016,TV-PG,2 Seasons,"British Tv Shows, Docuseries, International Tv Shows",Join Historian Dan Jones On A Journey Back In Time To The Zenith Of Britain'S Most Iconic Structures And Their Infamous Inhabitants.
Tv Show,Robocar Poli,,"Donald Reignoux, Alexis Tomassian, Thomas Sagols, Pierre Francois Pistori, Bruno Magne, Catherine Desplaces, Fily Keita, Adeline Chetail, Bertrand Liebert, Christophe Lemoine",South Korea,31-Mar-21,2015,TV-Y,2 Seasons,"Kids' Tv, Korean Tv Shows","When Disaster Strikes In Brooms Town, Police Car Robocar Poli, Fire Truck Robotruck Roy And Their Friends On The Rescue Team Race To Save The Day."
Tv Show,Zig & Sharko,,,France,01-Feb-21,2019,TV-Y7,2 Seasons,"Kids' Tv, Tv Comedies","Zig, An Island-Bound Hyena, Will Do Anything To Get His Paws On Marina The Mermaid, But Her Devoted Pal Sharko Always Comes To Her Rescue In Time."
Tv Show,Blown Away,,,Canada,22-Jan-21,2021,TV-14,2 Seasons,"International Tv Shows, Reality Tv","Ten Master Artists Turn Up The Heat In Glassblowing Sculpture Challenges For The Chance To Win $60,000 In Prizes And The Title Of Champion."
Tv Show,Regiment Diaries,,,India,26-Dec-20,2020,TV-PG,2 Seasons,"Docuseries, International Tv Shows","Historical Footage And Interviews With Soldiers Showcase War Stories, Unique Traditions And Unifying Principles Of The Indian Army’S Various Regiments."
Tv Show,Shaun The Sheep,,"John Sparkes, Justin Fletcher, Kate Harbour, Richard Webber, Jo Allen","United Kingdom, Finland, Germany, United States, Australia, Japan, France, Ireland",22-Dec-20,2016,TV-Y,2 Seasons,"British Tv Shows, Kids' Tv, Tv Comedies","Join Freewheeling Shaun For Barnyard Misadventures With His Cousin Timmy, Giant Sheepdog Bitzer, Jealous Cat Pidsley And Fellow Sheep Shirley."
Tv Show,Morphle,,,Netherlands,17-Dec-20,2020,TV-Y,2 Seasons,"British Tv Shows, Kids' Tv","Little Mila Turns Playtime Into A Series Of Fun And Educational Adventures With Her Magical Pet Morphle, Who Transforms Into Anything She Dreams Up!"
Tv Show,Hilda,,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker","United Kingdom, Canada, United States",14-Dec-20,2021,TV-Y7,2 Seasons,Kids' Tv,"Fearless, Free-Spirited Hilda Finds New Friends, Adventure And Magical Creatures When She Leaves Her Enchanted Forest Home And Journeys To The City."
